Лс,Номер,СервисГид,Слово,Тариф,Статус,Статус баланса
22197494,3452565362,,,,Свободный,ПозитивнаяСтатика
22215275,9220000054,,,,Свободный,ПозитивнаяДинами
56748826,9220000268,,,,Свободный,ПозитивнаяСтатика
21527518,9220000468,,,,Свободный,ПозитивнаяДинами
22215149,9220003555,,,,Свободный,ПозитивнаяДинами
21451392,9220004449,,,,Свободный,ПозитивнаяДинами
21297957,9220005111,,,,Свободный,ПозитивнаяДинами
21191276,9220005222,,,,Свободный,ПозитивнаяДинами
21297962,9220005333,,,,Свободный,ПозитивнаяДинами
21489151,9220010002,505665,Академия,Территория 1500,Свободный,ПозитивнаяДинами
22151228,9220010008,989975,Академия,Территория 1500,Свободный,ПозитивнаяДинами
21646495,9220010100,,,,Свободный,ПозитивнаяДинами
20574803,9220010537,776658,Академия,Территория 1500,Свободный,ПозитивнаяДинами
49159649,9220011072,,,,Свободный,ПозитивнаяДинами
49159651,9220011257,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
49159671,9220011925,,,,Свободный,ПозитивнаяДинами
49159672,9220011949,,,,Свободный,ПозитивнаяДинами
49159673,9220011971,,,,Свободный,ПозитивнаяДинами
49159675,9220012045,,,,Свободный,ПозитивнаяДинами
49159677,9220012107,,,,Свободный,ПозитивнаяДинами
49159765,9220012194,,,,Свободный,ПозитивнаяДинами
49159858,9220012235,,,,Свободный,ПозитивнаяДинами
49159955,9220012335,,,,Свободный,ПозитивнаяДинами
49160050,9220012543,,,,Свободный,ПозитивнаяДинами
49160195,9220012558,,,,Свободный,ПозитивнаяДинами
49160198,9220013144,,,,Свободный,ПозитивнаяДинами
49160200,9220013183,,,,Свободный,ПозитивнаяДинами
21420935,9220013333,,,,Свободный,ПозитивнаяДинами
49160202,9220013382,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
49160204,9220013411,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
49160205,9220013486,,,,Свободный,ПозитивнаяДинами
49160206,9220013494,,,,Свободный,НегативнаяСтатика
22122620,9220016086,,,,Свободный,ПозитивнаяДинами
21489304,9220020003,,,,Свободный,ПозитивнаяДинами
22151229,9220020008,,,,Свободный,ПозитивнаяДинами
22130120,9220024477,,,,Свободный,НегативнаяДинамика
49160197,9220028333,,,,Свободный,НегативнаяСтатика
21213282,9220030000,,,,Свободный,ПозитивнаяДинами
22215140,9220033555,,,,Свободный,ПозитивнаяДинами
21213286,9220040000,,,,Свободный,ПозитивнаяДинами
22321101,9220044779,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
21695251,9220050055,,,,Свободный,ПозитивнаяДинами
19480282,9220052222,,,,Свободный,ПозитивнаяДинами
22122355,9220053222,,,,Свободный,ПозитивнаяДинами
22122770,9220053555,,,,Свободный,ПозитивнаяДинами
22122362,9220053666,,,,Свободный,ПозитивнаяДинами
22122366,9220053777,,,,Свободный,ПозитивнаяДинами
22122371,9220053999,,,,Свободный,ПозитивнаяДинами
22122359,9220054222,,,,Свободный,ПозитивнаяДинами
22122361,9220054555,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
22122364,9220054666,,,,Свободный,ПозитивнаяДинами
22122369,9220054777,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
22320995,9220056555,,,,Свободный,ПозитивнаяДинами
22320994,9220057555,,,,Свободный,ПозитивнаяДинами
22320992,9220058555,,,,Свободный,ПозитивнаяДинами
22122353,9220059111,,,,Свободный,ПозитивнаяДинами
22320990,9220059555,,,,Свободный,ПозитивнаяДинами
21413072,9220059900,,,,Свободный,ПозитивнаяДинами
22122354,9220060111,,,,Свободный,ПозитивнаяДинами
22320987,9220060555,,,,Свободный,ПозитивнаяДинами
24180730,9220062555,,,,Свободный,ПозитивнаяДинами
22215139,9220063555,,,,Свободный,НегативнаяДинамика
22435734,9220069111,,,,Свободный,ПозитивнаяДинами
22320982,9220069999,,,,Свободный,ПозитивнаяДинами
22215138,9220073555,,,,Свободный,ПозитивнаяДинами
21408169,9220080000,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
21488987,9220080009,,,,Свободный,ПозитивнаяДинами
22215117,9220083555,,,,Свободный,ПозитивнаяДинами
20957797,9220088000,,,,Свободный,ПозитивнаяДинами
22121211,9220088111,,,,Свободный,ПозитивнаяДинами
21276162,9220088333,,,,Свободный,ПозитивнаяДинами
21408170,9220090000,,,,Свободный,ПозитивнаяДинами
21451497,9220090003,657686,Академия,Территория 1500,Свободный,ПозитивнаяДинами
21451544,9220090008,,Академия,Территория 1500,Свободный,ПозитивнаяДинами
22130099,9220099606,,,,Свободный,ПозитивнаяДинами
22358151,9220111110,,,,Свободный,НегативнаяДинамика
21643309,9220111555,,,,Свободный,ПозитивнаяДинами
22321538,9220171717,,,,Свободный,ПозитивнаяДинами
22356966,9220222229,,,,Свободный,ПозитивнаяДинами
21988384,9220376666,,,,Свободный,ПозитивнаяДинами
21427207,9220414888,,,,Свободный,ПозитивнаяДинами
21037526,9220419505,,,,Свободный,ПозитивнаяДинами
20754644,9220419550,,,,Свободный,ПозитивнаяСтатика
21437493,9220424441,,,,Свободный,НегативнаяДинамика
21437492,9220434441,658696,Академия,Территория 1500,Свободный,НегативнаяСтатика
21646496,9220440202,,,,Свободный,ПозитивнаяДинами
21977139,9220444666,,,,Свободный,ПозитивнаяДинами
21436341,9220454494,,,,Свободный,ПозитивнаяДинами
22122351,9220475000,,,,Свободный,ПозитивнаяДинами
21481998,9220483999,,,,Свободный,ПозитивнаяДинами
21481995,9220487999,,,,Свободный,ПозитивнаяДинами
20757596,9220488080,,,,Свободный,ПозитивнаяДинами
22122352,9220492000,,,,Свободный,ПозитивнаяДинами
24486523,9220500125,,,,Свободный,ПозитивнаяДинами
24486522,9220500267,,,,Свободный,ПозитивнаяДинами
24233801,9220500294,,,,Свободный,ПозитивнаяДинами
24233813,9220500312,,,,Свободный,ПозитивнаяДинами
24290985,9220500354,,,,Свободный,ПозитивнаяДинами
24290986,9220500387,,,,Свободный,ПозитивнаяДинами
57675449,9220502111,,,,Свободный,ПозитивнаяДинами
57675446,9220502333,,,,Свободный,ПозитивнаяДинами
23852503,9220502497,,,,Свободный,ПозитивнаяДинами
24233722,9220503143,,,,Свободный,ПозитивнаяДинами
57675447,9220503222,,,,Свободный,ПозитивнаяДинами
23853102,9220503396,,,,Свободный,ПозитивнаяДинами
23852943,9220503478,,,,Свободный,ПозитивнаяДинами
23852686,9220503791,,,,Свободный,ПозитивнаяДинами
57675450,9220512000,,,,Свободный,ПозитивнаяДинами
57675422,9220513444,,,,Свободный,ПозитивнаяДинами
24281029,9220520703,,,,Свободный,ПозитивнаяДинами
