,,,,,,
Агент,№(из...),ЛС,Телефон,Регион,Баланс,ИНН
"ООО ""ИНТРАСТПЕЙ""",,1177523,9224006932,Ханты-Мансийский автономный округ,"-125,36",7202210684
"ООО ""ИНТРАСТПЕЙ""",,3692310,9222596664,Ханты-Мансийский автономный округ,"11,65",7202210684
"ООО ""ИНТРАСТПЕЙ""",,4337075,9222540202,Ханты-Мансийский автономный округ,"-1131,43",7202210684
"ООО ""ИНТРАСТПЕЙ""",,5974107,9224132111,Ханты-Мансийский автономный округ,"-670,34",7202210684
"ООО ""ИНТРАСТПЕЙ""",,14878418,9227989776,Ханты-Мансийский автономный округ,"-44,28",7202210684
"ООО ""ИНТРАСТПЕЙ""",,16505291,9222475481,Тюменская область,"99,51",7202210684
"ООО ""ИНТРАСТПЕЙ""",,19480282,,Тюменская область,"-226,15",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20149444,9220452444,Тюменская область,"-477,72",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20495523,9222668688,Ханты-Мансийский автономный округ,"93,7",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20495545,9225222225,Тюменская область,"-676,57",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574760,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574761,9224879110,Ханты-Мансийский автономный округ,"51,36",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574763,9292608881,Ханты-Мансийский автономный округ,"-744,84",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574764,9224878595,Ханты-Мансийский автономный округ,"-130,8",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574765,9224883204,Ханты-Мансийский автономный округ,"-718,04",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574767,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574769,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574771,,Ханты-Мансийский автономный округ,"19,05",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574772,,Ханты-Мансийский автономный округ,"7,18",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574777,,Ханты-Мансийский автономный округ,0,7202210684
